"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
-28.34999915,131.21666585,"land",1,1375,-0.323660859905001,-0.736256254797002,0.822686304018399,-0.80319745032776,-0.401982088344504,-0.376152906567906,-0.823699521557203
-28.34999915,132.04999915,"land",1,1376,-0.250540488743452,-0.743294735490788,0.84899176603375,-0.807713255963645,-0.362862183429997,-0.183441406921712,-0.757486014715341
-28.34999915,132.88333245,"land",1,1377,-0.169860146161071,-0.752456858121992,0.909347113002918,-0.824675814417088,-0.347712483348233,-0.405296601292366,-0.143372554655046
-28.34999915,133.71666575,"land",1,1378,-0.0921041684536372,-0.764438696243276,0.963694742444323,-0.843859224288437,-0.381129067696032,-0.53726174345765,0.675916971357462
-28.34999915,134.54999905,"land",1,1379,-0.140557101171641,-0.770170404197537,0.903045403592625,-0.828281390658712,-0.511546005384459,-0.0958245995706411,1.68345019235373
-28.34999915,135.38333235,"land",1,1380,-0.0184132334112707,-0.804032202763554,1.00475341145565,-0.821780009995162,-0.505744621296959,-0.580236923867675,1.44823427764904
-28.34999915,136.21666565,"land",1,1381,0.0147550668906376,-0.832472910748757,1.05338072350558,-1.00026895444376,-0.499200573121544,0.0910929525885515,1.34445979569464
-28.34999915,137.04999895,"land",1,1382,0.150381431150168,-0.845151603507328,1.04363416750761,-1.02295642922099,-0.491150285239396,-0.747001082822841,0.441467793701146
-28.34999915,137.88333225,"land",1,1383,0.112498329315763,-0.826136316330412,1.18138540438897,-0.935297780669202,-0.380824957291862,-0.756869687378249,0.426771826173855
-28.34999915,138.71666555,"land",1,1384,0.047120168038556,-0.801556618626688,1.31678734290858,-0.90051661016516,-0.551162848136325,-0.627176114112253,0.418383332880327
-28.34999915,139.54999885,"land",1,1385,0.091746093022843,-0.781872686682718,1.33914698562163,-0.9076474133623,-0.601333456810025,-0.878126032828056,0.379434866644492
-28.34999915,140.38333215,"land",1,1386,0.125406212190472,-0.75707074315653,1.34241912845768,-0.748227328206602,-0.584620204715229,-0.761352473694867,0.596906146143855
-28.34999915,141.21666545,"land",1,1387,0.0918711851039686,-0.730194856472677,1.30796846533217,-0.730647151415606,-0.537631805629429,-0.619411961799376,-0.0343402482544947
-28.34999915,142.04999875,"land",1,1388,0.0863009877217605,-0.675691025766051,1.23322201796075,-0.747361275481617,-0.483871265056779,-0.201750497144629,1.13780501014199
-28.34999915,142.88333205,"land",1,1389,0.048731966004714,-0.616191486797408,1.22018046773974,-0.663430829055043,-0.380159403160609,-0.449933576603178,0.781891382772177
-28.34999915,143.71666535,"land",1,1390,-0.0136462351830525,-0.550574384070597,1.13909100268156,-0.600244701480895,-0.288949442218373,-0.47347595605735,0.356030932053517
-28.34999915,144.54999865,"land",1,1391,-0.0578194888234101,-0.491602712989229,1.03768094174881,-0.471335280462321,-0.273719332571554,-0.509738047368205,0.823313637999912
-28.34999915,145.38333195,"land",1,1392,-0.107274958076478,-0.418595968453808,0.951692930331038,-0.389229092967863,-0.232541102517894,-0.704772403557324,1.08565748944469
-28.34999915,146.21666525,"land",1,1393,-0.124572763049969,-0.383344929143854,0.892925754757184,-0.359177937443899,-0.169769436505542,-0.745424128869064,1.37395201243403
-28.34999915,147.04999855,"land",1,1394,-0.164338995673981,-0.316652799668774,0.879214483117675,-0.266514096014064,-0.106627583854693,-0.682546384154383,0.643275631155097
-28.34999915,147.88333185,"land",1,1395,-0.235861967957847,-0.242757980081429,0.80870872583059,-0.184545473717695,-0.064830078253745,-0.687480771939996,0.841888730907493
-28.34999915,148.71666515,"land",1,1396,-0.298803533482193,-0.11544837972943,0.734964223888423,0.00729109508912214,0.0879559975984533,-0.749882220501651,1.46180747332689
-28.34999915,149.54999845,"land",1,1397,-0.384555055036824,-0.0436365493495746,0.62814849158496,0.0481744649231013,0.162229047640006,-0.522200688248181,2.15409198654066
-28.34999915,150.38333175,"land",1,1398,-0.503350234783753,0.10045881386357,0.518299237659512,0.188959714686088,0.215462869833299,-0.403804932926723,1.75193666366767
-28.34999915,151.21666505,"land",1,1399,-0.831539208990101,0.222165530729874,0.15849865649139,0.354014486506119,0.300268774265785,0.722528156553481,0.821077321608825
-28.34999915,152.04999835,"land",1,1400,-1.17717087899772,0.732193445209187,-0.209552154277069,0.754804610908482,0.401521187928539,2.21737892133866,1.08668885871684
-28.34999915,152.88333165,"land",1,1401,-0.774538167404676,1.62009338885871,-0.648164971900572,1.79039960227994,0.805975751771337,2.67418378599889,1.14603820610419
